[INIT] Loading regulations with CORRECT Ortax IDs...
[2026-02-28 03:02:28] [200/20416] Processing regulation ID 26411...
[2026-02-28 03:02:32]   ✓ Content fetched: 111 characters
[2026-02-28 03:02:32] [PROGRESS] Saved: 200/20416 (1.0%) - With content: 200
[2026-02-28 03:02:34] [201/20416] Processing regulation ID 26502...
[2026-02-28 03:02:38]   ✓ Content fetched: 7573 characters
[2026-02-28 03:02:40] [202/20416] Processing regulation ID 26482...
[2026-02-28 03:02:44]   ✓ Content fetched: 4217 characters
[2026-02-28 03:02:46] [203/20416] Processing regulation ID 26892...
[2026-02-28 03:02:49]   ✓ Content fetched: 9903 characters
[2026-02-28 03:02:51] [204/20416] Processing regulation ID 26636...
[2026-02-28 03:02:55]   ✓ Content fetched: 10759 characters
[2026-02-28 03:02:57] [205/20416] Processing regulation ID 26509...
[2026-02-28 03:03:01]   ✓ Content fetched: 10270 characters
[2026-02-28 03:03:03] [206/20416] Processing regulation ID 26486...
[2026-02-28 03:03:07]   ✓ Content fetched: 3782 characters
[2026-02-28 03:03:09] [207/20416] Processing regulation ID 26483...
[2026-02-28 03:03:13]   ✓ Content fetched: 474 characters
[2026-02-28 03:03:15] [208/20416] Processing regulation ID 26506...
[2026-02-28 03:03:18]   ✓ Content fetched: 5450 characters
[2026-02-28 03:03:20] [209/20416] Processing regulation ID 26485...
[2026-02-28 03:03:24]   ✓ Content fetched: 5669 characters
[2026-02-28 03:03:26] [210/20416] Processing regulation ID 26539...
[2026-02-28 03:03:30]   ✓ Content fetched: 4096 characters
[2026-02-28 03:03:30] [PROGRESS] Saved: 210/20416 (1.0%) - With content: 210
[2026-02-28 03:03:32] [211/20416] Processing regulation ID 26501...
[2026-02-28 03:03:35]   ✓ Content fetched: 3219 characters
[2026-02-28 03:03:37] [212/20416] Processing regulation ID 26481...
[2026-02-28 03:03:41]   ✓ Content fetched: 6548 characters
[2026-02-28 03:03:43] [213/20416] Processing regulation ID 26474...
[2026-02-28 03:03:47]   ✓ Content fetched: 3441 characters
[2026-02-28 03:03:49] [214/20416] Processing regulation ID 26473...
[2026-02-28 03:03:52]   ✓ Content fetched: 4213 characters
[2026-02-28 03:03:54] [215/20416] Processing regulation ID 26478...
[2026-02-28 03:03:58]   ✓ Content fetched: 215 characters
[2026-02-28 03:04:00] [216/20416] Processing regulation ID 26477...
[2026-02-28 03:04:04]   ✓ Content fetched: 251 characters
[2026-02-28 03:04:06] [217/20416] Processing regulation ID 26476...
[2026-02-28 03:04:09]   ✓ Content fetched: 232 characters
[2026-02-28 03:04:11] [218/20416] Processing regulation ID 26498...
[2026-02-28 03:04:15]   ✓ Content fetched: 111 characters
[2026-02-28 03:04:17] [219/20416] Processing regulation ID 26464...
[2026-02-28 03:04:21]   ✓ Content fetched: 5746 characters
[2026-02-28 03:04:23] [220/20416] Processing regulation ID 26470...
[2026-02-28 03:04:26]   ✓ Content fetched: 111 characters
[2026-02-28 03:04:26] [PROGRESS] Saved: 220/20416 (1.1%) - With content: 220
[2026-02-28 03:04:28] [221/20416] Processing regulation ID 26468...
[2026-02-28 03:04:32]   ✓ Content fetched: 225 characters
[2026-02-28 03:04:34] [222/20416] Processing regulation ID 26518...
[2026-02-28 03:04:37]   ✓ Content fetched: 4763 characters
[2026-02-28 03:04:39] [223/20416] Processing regulation ID 26462...
[2026-02-28 03:04:43]   ✓ Content fetched: 4237 characters
[2026-02-28 03:04:45] [224/20416] Processing regulation ID 26538...
[2026-02-28 03:04:49]   ✓ Content fetched: 12976 characters
[2026-02-28 03:04:51] [225/20416] Processing regulation ID 26510...
[2026-02-28 03:04:55]   ✓ Content fetched: 10365 characters
[2026-02-28 03:04:57] [226/20416] Processing regulation ID 26500...
[2026-02-28 03:05:01]   ✓ Content fetched: 8963 characters
[2026-02-28 03:05:03] [227/20416] Processing regulation ID 26461...
[2026-02-28 03:05:07]   ✓ Content fetched: 3191 characters
[2026-02-28 03:05:09] [228/20416] Processing regulation ID 26459...
[2026-02-28 03:05:12]   ✓ Content fetched: 9100 characters
[2026-02-28 03:05:14] [229/20416] Processing regulation ID 26458...
[2026-02-28 03:05:18]   ✓ Content fetched: 10694 characters
[2026-02-28 03:05:20] [230/20416] Processing regulation ID 26475...
[2026-02-28 03:05:24]   ✓ Content fetched: 10581 characters
[2026-02-28 03:05:24] [PROGRESS] Saved: 230/20416 (1.1%) - With content: 230
[2026-02-28 03:05:26] [231/20416] Processing regulation ID 26469...
[2026-02-28 03:05:29]   ✓ Content fetched: 111 characters
[2026-02-28 03:05:31] [232/20416] Processing regulation ID 26472...
[2026-02-28 03:05:35]   ✓ Content fetched: 111 characters
[2026-02-28 03:05:37] [233/20416] Processing regulation ID 26451...
[2026-02-28 03:05:41]   ✓ Content fetched: 4237 characters
[2026-02-28 03:05:43] [234/20416] Processing regulation ID 26505...
[2026-02-28 03:05:47]   ✓ Content fetched: 9885 characters
[2026-02-28 03:05:49] [235/20416] Processing regulation ID 26467...
[2026-02-28 03:05:53]   ✓ Content fetched: 2148 characters
[2026-02-28 03:05:55] [236/20416] Processing regulation ID 26452...
[2026-02-28 03:05:58]   ✓ Content fetched: 4887 characters
[2026-02-28 03:06:00] [237/20416] Processing regulation ID 26448...
[2026-02-28 03:06:04]   ✓ Content fetched: 111 characters
[2026-02-28 03:06:06] [238/20416] Processing regulation ID 26721...
[2026-02-28 03:06:10]   ✓ Content fetched: 273 characters
[2026-02-28 03:06:12] [239/20416] Processing regulation ID 26714...
[2026-02-28 03:06:15]   ✓ Content fetched: 4169 characters
[2026-02-28 03:06:17] [240/20416] Processing regulation ID 26484...
[2026-02-28 03:06:21]   ✓ Content fetched: 9671 characters
[2026-02-28 03:06:21] [PROGRESS] Saved: 240/20416 (1.2%) - With content: 240
[2026-02-28 03:06:23] [241/20416] Processing regulation ID 26437...
[2026-02-28 03:06:27]   ✓ Content fetched: 4237 characters
[2026-02-28 03:06:29] [242/20416] Processing regulation ID 26915...
[2026-02-28 03:06:33]   ✓ Content fetched: 7759 characters
[2026-02-28 03:06:35] [243/20416] Processing regulation ID 26425...
[2026-02-28 03:06:38]   ✓ Content fetched: 4229 characters
[2026-02-28 03:06:40] [244/20416] Processing regulation ID 26480...
[2026-02-28 03:06:44]   ✓ Content fetched: 13040 characters
[2026-02-28 03:06:46] [245/20416] Processing regulation ID 26708...
[2026-02-28 03:06:49]   ✓ Content fetched: 7266 characters
[2026-02-28 03:06:51] [246/20416] Processing regulation ID 26426...
[2026-02-28 03:06:55]   ✓ Content fetched: 3458 characters
[2026-02-28 03:06:57] [247/20416] Processing regulation ID 26488...
[2026-02-28 03:07:01]   ✓ Content fetched: 3484 characters
[2026-02-28 03:07:03] [248/20416] Processing regulation ID 26455...
[2026-02-28 03:07:06]   ✓ Content fetched: 3362 characters
[2026-02-28 03:07:08] [249/20416] Processing regulation ID 26420...
[2026-02-28 03:07:12]   ✓ Content fetched: 111 characters
[2026-02-28 03:07:14] [250/20416] Processing regulation ID 26435...
[2026-02-28 03:07:18]   ✓ Content fetched: 11664 characters
[2026-02-28 03:07:18] [PROGRESS] Saved: 250/20416 (1.2%) - With content: 250
[2026-02-28 03:07:20] [251/20416] Processing regulation ID 26428...
[2026-02-28 03:07:23]   ✓ Content fetched: 5230 characters
[2026-02-28 03:07:25] [252/20416] Processing regulation ID 26419...
[2026-02-28 03:07:29]   ✓ Content fetched: 251 characters
[2026-02-28 03:07:31] [253/20416] Processing regulation ID 26418...
[2026-02-28 03:07:35]   ✓ Content fetched: 215 characters
[2026-02-28 03:07:37] [254/20416] Processing regulation ID 26443...
[2026-02-28 03:07:41]   ✓ Content fetched: 13359 characters
[2026-02-28 03:07:43] [255/20416] Processing regulation ID 26438...
[2026-02-28 03:07:46]   ✓ Content fetched: 12291 characters
[2026-02-28 03:07:48] [256/20416] Processing regulation ID 26410...
[2026-02-28 03:07:52]   ✓ Content fetched: 4225 characters
[2026-02-28 03:07:54] [257/20416] Processing regulation ID 26424...
[2026-02-28 03:07:57]   ✓ Content fetched: 7779 characters
[2026-02-28 03:07:59] [258/20416] Processing regulation ID 26411...
[2026-02-28 03:08:03]   ✓ Content fetched: 111 characters
[2026-02-28 03:08:05] [259/20416] Processing regulation ID 26471...
[2026-02-28 03:08:09]   ✓ Content fetched: 233 characters
[2026-02-28 03:08:11] [260/20416] Processing regulation ID 26450...
[2026-02-28 03:08:15]   ✓ Content fetched: 3276 characters
[2026-02-28 03:08:15] [PROGRESS] Saved: 260/20416 (1.3%) - With content: 260
[2026-02-28 03:08:17] [261/20416] Processing regulation ID 26447...
[2026-02-28 03:08:20]   ✓ Content fetched: 3732 characters
[2026-02-28 03:08:22] [262/20416] Processing regulation ID 26445...
[2026-02-28 03:08:26]   ✓ Content fetched: 3177 characters
[2026-02-28 03:08:28] [263/20416] Processing regulation ID 26444...
[2026-02-28 03:08:32]   ✓ Content fetched: 3077 characters
[2026-02-28 03:08:34] [264/20416] Processing regulation ID 26423...
[2026-02-28 03:08:37]   ✓ Content fetched: 3017 characters
[2026-02-28 03:08:39] [265/20416] Processing regulation ID 26422...
[2026-02-28 03:08:43]   ✓ Content fetched: 3203 characters
[2026-02-28 03:08:45] [266/20416] Processing regulation ID 26414...
[2026-02-28 03:08:49]   ✓ Content fetched: 3096 characters
[2026-02-28 03:08:51] [267/20416] Processing regulation ID 26413...
[2026-02-28 03:08:55]   ✓ Content fetched: 3103 characters
[2026-02-28 03:08:57] [268/20416] Processing regulation ID 26412...
[2026-02-28 03:09:00]   ✓ Content fetched: 3551 characters
[2026-02-28 03:09:02] [269/20416] Processing regulation ID 26400...
[2026-02-28 03:09:06]   ✓ Content fetched: 4220 characters
[2026-02-28 03:09:08] [270/20416] Processing regulation ID 26404...
[2026-02-28 03:09:12]   ✓ Content fetched: 11588 characters
[2026-02-28 03:09:12] [PROGRESS] Saved: 270/20416 (1.3%) - With content: 270
[2026-02-28 03:09:14] [271/20416] Processing regulation ID 26433...
[2026-02-28 03:09:18]   ✓ Content fetched: 283 characters
[2026-02-28 03:09:20] [272/20416] Processing regulation ID 26406...
[2026-02-28 03:09:24]   ✓ Content fetched: 2144 characters
[2026-02-28 03:09:26] [273/20416] Processing regulation ID 26700...
[2026-02-28 03:09:29]   ✓ Content fetched: 317 characters
[2026-02-28 03:09:31] [274/20416] Processing regulation ID 26694...
[2026-02-28 03:09:35]   ✓ Content fetched: 2666 characters
[2026-02-28 03:09:37] [275/20416] Processing regulation ID 26407...
[2026-02-28 03:09:41]   ✓ Content fetched: 111 characters
[2026-02-28 03:09:43] [276/20416] Processing regulation ID 26397...
[2026-02-28 03:09:47]   ✓ Content fetched: 14694 characters
[2026-02-28 03:09:49] [277/20416] Processing regulation ID 26402...
[2026-02-28 03:09:53]   ✓ Content fetched: 12312 characters
[2026-02-28 03:09:55] [278/20416] Processing regulation ID 26479...
[2026-02-28 03:09:58]   ✓ Content fetched: 269 characters
[2026-02-28 03:10:00] [279/20416] Processing regulation ID 26389...
[2026-02-28 03:10:04]   ✓ Content fetched: 4220 characters
[2026-02-28 03:10:06] [280/20416] Processing regulation ID 26497...
[2026-02-28 03:10:10]   ✓ Content fetched: 238 characters
[2026-02-28 03:10:10] [PROGRESS] Saved: 280/20416 (1.4%) - With content: 280
[2026-02-28 03:10:12] [281/20416] Processing regulation ID 26379...
[2026-02-28 03:10:16]   ✓ Content fetched: 2782 characters
[2026-02-28 03:10:18] [282/20416] Processing regulation ID 26377...
[2026-02-28 03:10:22]   ✓ Content fetched: 14184 characters
[2026-02-28 03:10:24] [283/20416] Processing regulation ID 26373...
[2026-02-28 03:10:27]   ✓ Content fetched: 4216 characters
[2026-02-28 03:10:29] [284/20416] Processing regulation ID 26304...
[2026-02-28 03:10:33]   ✓ Content fetched: 9523 characters
[2026-02-28 03:10:35] [285/20416] Processing regulation ID 26376...
[2026-02-28 03:10:39]   ✓ Content fetched: 3255 characters
[2026-02-28 03:10:41] [286/20416] Processing regulation ID 26633...
[2026-02-28 03:10:45]   ✓ Content fetched: 7793 characters
[2026-02-28 03:10:47] [287/20416] Processing regulation ID 26369...
[2026-02-28 03:10:50]   ✓ Content fetched: 3441 characters
[2026-02-28 03:10:52] [288/20416] Processing regulation ID 26707...
[2026-02-28 03:10:56]   ✓ Content fetched: 3752 characters
[2026-02-28 03:10:58] [289/20416] Processing regulation ID 26387...
[2026-02-28 03:11:02]   ✓ Content fetched: 10174 characters
[2026-02-28 03:11:04] [290/20416] Processing regulation ID 26364...
[2026-02-28 03:11:08]   ✓ Content fetched: 111 characters
[2026-02-28 03:11:08] [PROGRESS] Saved: 290/20416 (1.4%) - With content: 290
[2026-02-28 03:11:10] [291/20416] Processing regulation ID 26526...
[2026-02-28 03:11:14]   ✓ Content fetched: 2872 characters
[2026-02-28 03:11:16] [292/20416] Processing regulation ID 26429...
[2026-02-28 03:11:20]   ✓ Content fetched: 13491 characters
[2026-02-28 03:11:22] [293/20416] Processing regulation ID 26372...
[2026-02-28 03:11:25]   ✓ Content fetched: 9972 characters
[2026-02-28 03:11:27] [294/20416] Processing regulation ID 26370...
[2026-02-28 03:11:31]   ✓ Content fetched: 3233 characters
[2026-02-28 03:11:33] [295/20416] Processing regulation ID 26366...
[2026-02-28 03:11:37]   ✓ Content fetched: 251 characters
[2026-02-28 03:11:39] [296/20416] Processing regulation ID 26363...
[2026-02-28 03:11:43]   ✓ Content fetched: 232 characters
[2026-02-28 03:11:45] [297/20416] Processing regulation ID 26362...
[2026-02-28 03:11:48]   ✓ Content fetched: 215 characters
[2026-02-28 03:11:50] [298/20416] Processing regulation ID 26728...
[2026-02-28 03:11:54]   ✓ Content fetched: 287 characters
[2026-02-28 03:11:56] [299/20416] Processing regulation ID 26360...
[2026-02-28 03:12:00]   ✓ Content fetched: 4204 characters
[2026-02-28 03:12:02] [300/20416] Processing regulation ID 26704...
[2026-02-28 03:12:06]   ✓ Content fetched: 111 characters
[2026-02-28 03:12:06] [PROGRESS] Saved: 300/20416 (1.5%) - With content: 300
[2026-02-28 03:12:08] [301/20416] Processing regulation ID 26723...
[2026-02-28 03:12:11]   ✓ Content fetched: 111 characters
[2026-02-28 03:12:13] [302/20416] Processing regulation ID 26359...
[2026-02-28 03:12:17]   ✓ Content fetched: 6120 characters
[2026-02-28 03:12:19] [303/20416] Processing regulation ID 26358...
[2026-02-28 03:12:23]   ✓ Content fetched: 7977 characters
[2026-02-28 03:12:25] [304/20416] Processing regulation ID 26357...
[2026-02-28 03:12:29]   ✓ Content fetched: 11968 characters
[2026-02-28 03:12:31] [305/20416] Processing regulation ID 26356...
[2026-02-28 03:12:35]   ✓ Content fetched: 15745 characters
[2026-02-28 03:12:37] [306/20416] Processing regulation ID 26368...
[2026-02-28 03:12:41]   ✓ Content fetched: 13561 characters
[2026-02-28 03:12:43] [307/20416] Processing regulation ID 26415...
[2026-02-28 03:12:46]   ✓ Content fetched: 2657 characters
[2026-02-28 03:12:48] [308/20416] Processing regulation ID 26386...
[2026-02-28 03:12:52]   ✓ Content fetched: 10715 characters
[2026-02-28 03:12:54] [309/20416] Processing regulation ID 26341...
[2026-02-28 03:12:58]   ✓ Content fetched: 111 characters
[2026-02-28 03:13:00] [310/20416] Processing regulation ID 26417...
[2026-02-28 03:13:04]   ✓ Content fetched: 11367 characters
[2026-02-28 03:13:04] [PROGRESS] Saved: 310/20416 (1.5%) - With content: 310
[2026-02-28 03:13:06] [311/20416] Processing regulation ID 26335...
[2026-02-28 03:13:10]   ✓ Content fetched: 4197 characters
[INIT] Loading regulations with CORRECT Ortax IDs...
[INIT] Loaded 20416 regulations with correct IDs
[2026-02-28 04:40:28] ======================================================================
[2026-02-28 04:40:28] FULL CONTENT SCRAPER - CORRECT ORTAX IDs - STARTING
[2026-02-28 04:40:28] Total regulations to process: 20416
[2026-02-28 04:40:28] ======================================================================
[2026-02-28 04:40:28] [RESUME] Resuming from regulation 310
[2026-02-28 04:40:28] [RESUME] Loaded 310 already processed
[2026-02-28 04:40:28] [INIT] Starting browser...
[2026-02-28 04:40:29] [INIT] Browser started, beginning scrape with CORRECT IDs...
[2026-02-28 04:40:29] [311/20416] Processing regulation ID 26335...
[2026-02-28 04:40:34]   ✓ Content fetched: 103 characters
[2026-02-28 04:40:36] [312/20416] Processing regulation ID 26385...
[2026-02-28 04:40:40]   ✓ Content fetched: 103 characters
[2026-02-28 04:40:42] [313/20416] Processing regulation ID 26440...
[2026-02-28 04:40:47]   ✓ Content fetched: 9786 characters
[2026-02-28 04:40:49] [314/20416] Processing regulation ID 26352...
[2026-02-28 04:40:53]   ✓ Content fetched: 3132 characters
[2026-02-28 04:40:55] [315/20416] Processing regulation ID 26351...
[2026-02-28 04:40:59]   ✓ Content fetched: 8749 characters
[2026-02-28 04:41:01] [316/20416] Processing regulation ID 26344...
[2026-02-28 04:41:04]   ✓ Content fetched: 7345 characters
[2026-02-28 04:41:06] [317/20416] Processing regulation ID 26343...
[2026-02-28 04:41:10]   ✓ Content fetched: 5293 characters
[2026-02-28 04:41:12] [318/20416] Processing regulation ID 26321...
[2026-02-28 04:41:16]   ✓ Content fetched: 4197 characters
[2026-02-28 04:41:18] [319/20416] Processing regulation ID 26349...
[2026-02-28 04:41:22]   ✓ Content fetched: 2138 characters
[2026-02-28 04:41:24] [320/20416] Processing regulation ID 26333...
[2026-02-28 04:41:28]   ✓ Content fetched: 1157 characters
[2026-02-28 04:41:28] [PROGRESS] Saved: 320/20416 (1.6%) - With content: 320
[2026-02-28 04:41:30] [321/20416] Processing regulation ID 26322...
[2026-02-28 04:41:34]   ✓ Content fetched: 10970 characters
[2026-02-28 04:41:36] [322/20416] Processing regulation ID 26320...
[2026-02-28 04:41:40]   ✓ Content fetched: 111 characters
[2026-02-28 04:41:42] [323/20416] Processing regulation ID 26702...
[2026-02-28 04:41:46]   ✓ Content fetched: 4518 characters
[2026-02-28 04:41:48] [324/20416] Processing regulation ID 26308...
[2026-02-28 04:41:52]   ✓ Content fetched: 4193 characters
[2026-02-28 04:41:54] [325/20416] Processing regulation ID 26743...
[2026-02-28 04:41:57]   ✓ Content fetched: 8630 characters
[2026-02-28 04:41:59] [326/20416] Processing regulation ID 26446...
[2026-02-28 04:42:03]   ✓ Content fetched: 11037 characters
[2026-02-28 04:42:05] [327/20416] Processing regulation ID 26672...
[2026-02-28 04:42:09]   ✓ Content fetched: 9484 characters
[2026-02-28 04:42:11] [328/20416] Processing regulation ID 26529...
[2026-02-28 04:42:15]   ✓ Content fetched: 9651 characters
[2026-02-28 04:42:17] [329/20416] Processing regulation ID 26530...
[2026-02-28 04:42:22]   ✓ Content fetched: 10305 characters
[2026-02-28 04:42:24] [330/20416] Processing regulation ID 26679...
[2026-02-28 04:42:28]   ✓ Content fetched: 12287 characters
[2026-02-28 04:42:28] [PROGRESS] Saved: 330/20416 (1.6%) - With content: 330
[2026-02-28 04:42:30] [331/20416] Processing regulation ID 26302...
[2026-02-28 04:42:33]   ✓ Content fetched: 4189 characters
[2026-02-28 04:42:35] [332/20416] Processing regulation ID 26693...
[2026-02-28 04:42:39]   ✓ Content fetched: 111 characters
[2026-02-28 04:42:41] [333/20416] Processing regulation ID 26457...
[2026-02-28 04:42:45]   ✓ Content fetched: 3337 characters
[2026-02-28 04:42:47] [334/20416] Processing regulation ID 26318...
[2026-02-28 04:42:51]   ✓ Content fetched: 11823 characters
[2026-02-28 04:42:53] [335/20416] Processing regulation ID 26317...
[2026-02-28 04:42:57]   ✓ Content fetched: 11894 characters
[2026-02-28 04:42:59] [336/20416] Processing regulation ID 26316...
[2026-02-28 04:43:03]   ✓ Content fetched: 11214 characters
[2026-02-28 04:43:05] [337/20416] Processing regulation ID 26315...
[2026-02-28 04:43:09]   ✓ Content fetched: 11511 characters
[2026-02-28 04:43:11] [338/20416] Processing regulation ID 26313...
[2026-02-28 04:43:15]   ✓ Content fetched: 11450 characters
[2026-02-28 04:43:17] [339/20416] Processing regulation ID 26311...
[2026-02-28 04:43:21]   ✓ Content fetched: 11518 characters
[2026-02-28 04:43:23] [340/20416] Processing regulation ID 26310...
[2026-02-28 04:43:27]   ✓ Content fetched: 11571 characters
[2026-02-28 04:43:27] [PROGRESS] Saved: 340/20416 (1.7%) - With content: 340
[2026-02-28 04:43:29] [341/20416] Processing regulation ID 26309...
[2026-02-28 04:43:34]   ✓ Content fetched: 11919 characters
[2026-02-28 04:43:36] [342/20416] Processing regulation ID 26305...
[2026-02-28 04:43:40]   ✓ Content fetched: 3255 characters
[2026-02-28 04:43:42] [343/20416] Processing regulation ID 26301...
[2026-02-28 04:43:46]   ✓ Content fetched: 232 characters
[2026-02-28 04:43:48] [344/20416] Processing regulation ID 26300...
[2026-02-28 04:43:51]   ✓ Content fetched: 251 characters
[2026-02-28 04:43:53] [345/20416] Processing regulation ID 26299...
[2026-02-28 04:43:57]   ✓ Content fetched: 215 characters
[2026-02-28 04:43:59] [346/20416] Processing regulation ID 26298...
[2026-02-28 04:44:03]   ✓ Content fetched: 111 characters
[2026-02-28 04:44:05] [347/20416] Processing regulation ID 26314...
[2026-02-28 04:44:09]   ✓ Content fetched: 11888 characters
[2026-02-28 04:44:11] [348/20416] Processing regulation ID 26729...
[2026-02-28 04:44:15]   ✓ Content fetched: 12357 characters
[2026-02-28 04:44:17] [349/20416] Processing regulation ID 26296...
[2026-02-28 04:44:21]   ✓ Content fetched: 3420 characters
[2026-02-28 04:44:23] [350/20416] Processing regulation ID 26303...
[2026-02-28 04:44:26]   ✓ Content fetched: 9063 characters
[2026-02-28 04:44:26] [PROGRESS] Saved: 350/20416 (1.7%) - With content: 350
[2026-02-28 04:44:28] [351/20416] Processing regulation ID 26294...
[2026-02-28 04:44:32]   ✓ Content fetched: 2715 characters
[2026-02-28 04:44:34] [352/20416] Processing regulation ID 26293...
[2026-02-28 04:44:38]   ✓ Content fetched: 4193 characters
[2026-02-28 04:44:40] [353/20416] Processing regulation ID 26740...
[2026-02-28 04:44:44]   ✓ Content fetched: 10951 characters
[2026-02-28 04:44:46] [354/20416] Processing regulation ID 26295...
[2026-02-28 04:44:50]   ✓ Content fetched: 111 characters
[2026-02-28 04:44:52] [355/20416] Processing regulation ID 26292...
[2026-02-28 04:44:56]   ✓ Content fetched: 852 characters
[2026-02-28 04:44:58] [356/20416] Processing regulation ID 26865...
[2026-02-28 04:45:02]   ✓ Content fetched: 6095 characters
[2026-02-28 04:45:04] [357/20416] Processing regulation ID 26535...
[2026-02-28 04:45:07]   ✓ Content fetched: 6459 characters
[2026-02-28 04:45:09] [358/20416] Processing regulation ID 26416...
[2026-02-28 04:45:13]   ✓ Content fetched: 4200 characters
[2026-02-28 04:45:15] [359/20416] Processing regulation ID 26436...
[2026-02-28 04:45:19]   ✓ Content fetched: 13029 characters
[2026-02-28 04:45:21] [360/20416] Processing regulation ID 26286...
[2026-02-28 04:45:25]   ✓ Content fetched: 4197 characters
[2026-02-28 04:45:25] [PROGRESS] Saved: 360/20416 (1.8%) - With content: 360
[2026-02-28 04:45:27] [361/20416] Processing regulation ID 26439...
[2026-02-28 04:45:31]   ✓ Content fetched: 10544 characters
[2026-02-28 04:45:33] [362/20416] Processing regulation ID 26401...
[2026-02-28 04:45:37]   ✓ Content fetched: 12365 characters
[2026-02-28 04:45:39] [363/20416] Processing regulation ID 26297...
[2026-02-28 04:45:43]   ✓ Content fetched: 2138 characters
[2026-02-28 04:45:45] [364/20416] Processing regulation ID 26279...
[2026-02-28 04:45:49]   ✓ Content fetched: 111 characters
[2026-02-28 04:45:51] [365/20416] Processing regulation ID 26860...
[2026-02-28 04:45:55]   ✓ Content fetched: 9197 characters
[2026-02-28 04:45:57] [366/20416] Processing regulation ID 26641...
[2026-02-28 04:46:01]   ✓ Content fetched: 4496 characters
[2026-02-28 04:46:03] [367/20416] Processing regulation ID 26319...
[2026-02-28 04:46:06]   ✓ Content fetched: 13518 characters
[2026-02-28 04:46:08] [368/20416] Processing regulation ID 26276...
[2026-02-28 04:46:12]   ✓ Content fetched: 4652 characters
[2026-02-28 04:46:14] [369/20416] Processing regulation ID 26337...
[2026-02-28 04:46:18]   ✓ Content fetched: 7423 characters
[2026-02-28 04:46:20] [370/20416] Processing regulation ID 26517...
[2026-02-28 04:46:24]   ✓ Content fetched: 6447 characters
[2026-02-28 04:46:24] [PROGRESS] Saved: 370/20416 (1.8%) - With content: 370
[2026-02-28 04:46:26] [371/20416] Processing regulation ID 26307...
[2026-02-28 04:46:29]   ✓ Content fetched: 9130 characters
[2026-02-28 04:46:31] [372/20416] Processing regulation ID 26291...
[2026-02-28 04:46:37]   ✓ Content fetched: 10079 characters
[2026-02-28 04:46:39] [373/20416] Processing regulation ID 26434...
[2026-02-28 04:46:43]   ✓ Content fetched: 10282 characters
[2026-02-28 04:46:45] [374/20416] Processing regulation ID 26269...
[2026-02-28 04:46:48]   ✓ Content fetched: 12834 characters
[2026-02-28 04:46:50] [375/20416] Processing regulation ID 26325...
[2026-02-28 04:46:54]   ✓ Content fetched: 9063 characters
[2026-02-28 04:46:56] [376/20416] Processing regulation ID 26431...
[2026-02-28 04:47:00]   ✓ Content fetched: 7530 characters
[2026-02-28 04:47:02] [377/20416] Processing regulation ID 26263...
[2026-02-28 04:47:06]   ✓ Content fetched: 4627 characters
[2026-02-28 04:47:08] [378/20416] Processing regulation ID 26329...
[2026-02-28 04:47:12]   ✓ Content fetched: 12141 characters
[2026-02-28 04:47:14] [379/20416] Processing regulation ID 26266...
[2026-02-28 04:47:17]   ✓ Content fetched: 3255 characters
[2026-02-28 04:47:19] [380/20416] Processing regulation ID 26254...
[2026-02-28 04:47:23]   ✓ Content fetched: 232 characters
[2026-02-28 04:47:23] [PROGRESS] Saved: 380/20416 (1.9%) - With content: 380
[2026-02-28 04:47:25] [381/20416] Processing regulation ID 26253...
[2026-02-28 04:47:29]   ✓ Content fetched: 251 characters
[2026-02-28 04:47:31] [382/20416] Processing regulation ID 26252...
[2026-02-28 04:47:35]   ✓ Content fetched: 111 characters
[2026-02-28 04:47:37] [383/20416] Processing regulation ID 26251...
[2026-02-28 04:47:40]   ✓ Content fetched: 215 characters
[2026-02-28 04:47:42] [384/20416] Processing regulation ID 26737...
[2026-02-28 04:47:46]   ✓ Content fetched: 3333 characters
[2026-02-28 04:47:48] [385/20416] Processing regulation ID 26255...
[2026-02-28 04:47:52]   ✓ Content fetched: 3087 characters
[2026-02-28 04:47:54] [386/20416] Processing regulation ID 26260...
[2026-02-28 04:47:57]   ✓ Content fetched: 5206 characters
[2026-02-28 04:47:59] [387/20416] Processing regulation ID 26243...
[2026-02-28 04:48:03]   ✓ Content fetched: 4623 characters
[2026-02-28 04:48:05] [388/20416] Processing regulation ID 26256...
[2026-02-28 04:48:09]   ✓ Content fetched: 12465 characters
[2026-02-28 04:48:11] [389/20416] Processing regulation ID 26244...
[2026-02-28 04:48:15]   ✓ Content fetched: 9422 characters
[2026-02-28 04:48:17] [390/20416] Processing regulation ID 26511...
[2026-02-28 04:48:20]   ✓ Content fetched: 13694 characters
[2026-02-28 04:48:20] [PROGRESS] Saved: 390/20416 (1.9%) - With content: 390
[2026-02-28 04:48:22] [391/20416] Processing regulation ID 26282...
[2026-02-28 04:48:26]   ✓ Content fetched: 13420 characters
[2026-02-28 04:48:28] [392/20416] Processing regulation ID 26278...
[2026-02-28 04:48:32]   ✓ Content fetched: 10982 characters
[2026-02-28 04:48:34] [393/20416] Processing regulation ID 26275...
[2026-02-28 04:48:38]   ✓ Content fetched: 10230 characters
[2026-02-28 04:48:40] [394/20416] Processing regulation ID 26241...
[2026-02-28 04:48:44]   ✓ Content fetched: 16753 characters
[2026-02-28 04:48:46] [395/20416] Processing regulation ID 26868...
[2026-02-28 04:48:50]   ✓ Content fetched: 11300 characters
